Temperature (K), B_2V
183,-54552904164718442142760960
183,-54485975367704205093502976
183,-54419130598301355334434816
183,-54352369701405326588248064
183,-54285692522287190417342464
183,-54219098906592470812852224
183,-54152588700339855704457216
183,-54086161749920475405877248
184,-54019817902096416556187648
184,-53953557003999897486098432
184,-53887378903131893828419584
184,-53821283447361331064209408
184,-53755270484923692953370624
184,-53689339864420265620406272
184,-53623491434816754574950400
184,-53557725045442219559878656
184,-53492040545988481845821440
184,-53426437786508157136142336
184,-53360916617414440818573312
184,-53295476889479553187053568
185,-53230118453833854678466560
185,-53164841161964686231470080
185,-53099644865715501703102464
185,-53034529417284476299378688
185,-52969494669223862330195968
185,-52904540474438631999668224
185,-52839666686185652772405248
185,-52774873158072424653127680
185,-52710159744056264142880768
185,-52645526298443144597864448
185,-52580972675886699797020672
186,-52516498731387279049228288
186,-52452104320290710242721792
186,-52387789298287535340912640
186,-52323553521411842151284736
186,-52259396846040405331935232
186,-52195319128891380721516544
186,-52131320227023721223684096
186,-52067399997835845367234560
186,-52003558299064709593169920
186,-51939794988785009390780416
186,-51876109925407847857782784
186,-51812502967680160174702592
187,-51748973974683296265666560
187,-51685522805832531172130816
187,-51622149320875578994196480
187,-51558853379891965825384448
187,-51495634843291981780615168
187,-51432493571815684563795968
187,-51369429426532031884427264
187,-51306442268837635917086720
187,-51243531960456222135549952
187,-51180698363437375182340096
187,-51117941340155748594745344
188,-51055260753309948113321984
188,-50992656465921853077061632
188,-50930128341335431012417536
188,-50867676243215921589518336
188,-50805300035548960448839680
188,-50742999582639342250622976
188,-50680774749110608358014976
188,-50618625399903698217336832
188,-50556551400276167674036224
188,-50494552615801381518835712
188,-50432628912367371026432000
188,-50370780156176155350663168
189,-50309006213742590473273344
189,-50247306951893905347444736
189,-50185682237768138529701888
189,-50124131938813863302004736
189,-50062655922788933541298176
189,-50001254057759762165006336
189,-49939926212100298928816128
189,-49878672254491205792956416
189,-49817492053919109597888512
189,-49756385479675442423136256
189,-49695352401355883241537536
190,-49634392688859129558597632
190,-49573506212386433556021248
190,-49512692842440347961262080
190,-49451952449824107572232192
190,-49391284905640718724235264
190,-49330690081292048756899840
190,-49270167848478027150262272
190,-49209718079195734991699968
190,-49149340645738657651621888
